#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location,room
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T10:42:25.187627499Z,4090,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T10:47:53.672584059Z,4240,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T10:53:24.1553155Z,4346,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T10:58:53.119661904Z,4454,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T11:04:21.840063113Z,3728,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T11:09:50.483357115Z,3773,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T11:15:18.653697901Z,3922,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T11:20:46.884909402Z,4077,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T11:26:15.343269695Z,4260,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T11:31:44.070605143Z,4335,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T11:37:12.705070969Z,4430,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T11:42:41.344847074Z,4581,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T11:48:09.986140365Z,4614,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T11:53:38.540866942Z,4263,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T11:59:06.627124759Z,3585,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T12:04:35.515249365Z,3695,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T12:10:04.161330944Z,3787,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T12:15:32.645120222Z,3809,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T12:21:01.208254768Z,3667,CO2,monitor_task,ESP32-5,urbino,Turing
